user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
1.0,Female,54.0,CA,Free,26.0,23.0,0.2,Desktop,31.0,0.0,1
2.0,Other,33.0,DE,Family,141.0,62.0,0.34,Web,0.0,1.0,0
3.0,Male,38.0,AU,Premium,199.0,38.0,0.04,Mobile,0.0,1.0,1
4.0,Female,22.0,CA,Student,36.0,2.0,0.31,Mobile,0.0,1.0,0
5.0,Other,29.0,US,Family,250.0,57.0,0.36,Mobile,0.0,1.0,1
6.0,Female,17.0,AU,Free,219.0,35.0,0.46,Desktop,13.0,0.0,0
7.0,Female,39.0,UK,Premium,289.0,44.0,0.38,Desktop,0.0,1.0,0
8.0,Female,41.0,UK,Free,210.0,68.0,0.11,Mobile,5.0,0.0,0
9.0,Other,55.0,DE,Student,50.0,66.0,0.29,Web,0.0,1.0,0
10.0,Male,44.0,DE,Free,278.0,94.0,0.38,Mobile,44.0,0.0,0
11.0,Other,33.0,DE,Free,86.0,44.0,0.11,Web,37.0,0.0,0
12.0,Other,24.0,CA,Free,113.0,24.0,0.56,Desktop,39.0,0.0,1
13.0,Female,37.0,IN,Family,24.0,86.0,0.11,Desktop,0.0,1.0,0
14.0,Female,53.0,US,Premium,45.0,47.0,0.6,Web,0.0,1.0,0
15.0,Other,37.0,IN,Family,114.0,13.0,0.44,Web,0.0,1.0,1
16.0,Male,25.0,FR,Student,230.0,25.0,0.26,Desktop,0.0,1.0,0
17.0,Female,36.0,DE,Student,181.0,93.0,0.23,Mobile,0.0,1.0,0
18.0,Male,58.0,US,Family,120.0,8.0,0.41,Desktop,0.0,1.0,0
19.0,Female,34.0,DE,Family,160.0,32.0,0.35,Mobile,0.0,1.0,0
20.0,Male,35.0,UK,Student,281.0,51.0,0.35,Desktop,0.0,1.0,0
21.0,Female,33.0,AU,Student,138.0,60.0,0.6,Web,0.0,1.0,0
22.0,Male,49.0,AU,Premium,20.0,7.0,0.45,Desktop,0.0,1.0,0
23.0,Female,45.0,PK,Family,138.0,95.0,0.1,Desktop,0.0,1.0,0
24.0,Male,44.0,CA,Family,134.0,97.0,0.42,Web,0.0,1.0,0
25.0,Other,32.0,CA,Premium,133.0,22.0,0.59,Desktop,0.0,1.0,0
26.0,Female,19.0,US,Student,39.0,29.0,0.53,Desktop,0.0,1.0,0
27.0,Male,28.0,IN,Free,293.0,67.0,0.33,Mobile,23.0,0.0,1
28.0,Other,58.0,FR,Free,15.0,55.0,0.3,Mobile,35.0,0.0,0
29.0,Male,33.0,FR,Free,123.0,13.0,0.22,Desktop,7.0,0.0,0
30.0,Female,22.0,FR,Premium,18.0,12.0,0.39,Mobile,0.0,1.0,0
31.0,Other,44.0,UK,Premium,149.0,45.0,0.22,Web,0.0,1.0,0
32.0,Male,53.0,US,Student,72.0,12.0,0.17,Web,0.0,1.0,0
33.0,Female,49.0,IN,Premium,291.0,74.0,0.11,Mobile,0.0,1.0,0
34.0,Male,49.0,US,Family,147.0,52.0,0.43,Web,0.0,1.0,0
35.0,Female,55.0,FR,Premium,18.0,2.0,0.04,Mobile,0.0,1.0,0
36.0,Other,24.0,DE,Free,59.0,53.0,0.18,Web,28.0,0.0,1
37.0,Male,22.0,DE,Student,280.0,99.0,0.29,Desktop,0.0,1.0,0
38.0,Female,50.0,US,Family,117.0,98.0,0.04,Mobile,0.0,1.0,0
39.0,Female,42.0,DE,Family,47.0,59.0,0.06,Desktop,0.0,1.0,0
40.0,Male,17.0,DE,Family,260.0,44.0,0.5,Desktop,0.0,1.0,1
41.0,Female,51.0,UK,Premium,122.0,16.0,0.54,Desktop,0.0,1.0,0
42.0,Female,46.0,US,Student,255.0,14.0,0.39,Desktop,0.0,1.0,0
43.0,Male,22.0,DE,Family,49.0,39.0,0.51,Mobile,0.0,1.0,0
44.0,Male,37.0,DE,Family,90.0,89.0,0.4,Mobile,0.0,1.0,0
45.0,Male,39.0,PK,Family,288.0,69.0,0.48,Web,0.0,1.0,0
46.0,Female,18.0,PK,Premium,255.0,3.0,0.39,Web,0.0,1.0,0
47.0,Female,56.0,CA,Student,255.0,75.0,0.58,Desktop,0.0,1.0,0
